time in milliseconds,acceleration_x,acceleration_y,acceleration_z,Roll,Pitch,Yaw
4.0,-4.7891,0.2458,8.1076,0.3387,-0.8067,0.4815
8.0,-4.7891,0.2458,8.1076,0.3387,-0.8067,0.4815
13.0,-4.7891,0.2458,8.1076,0.3387,-0.8067,0.4815
18.0,-4.7891,0.2458,8.1076,0.3387,-0.8067,0.4815
23.0,-4.7891,0.2458,8.1076,0.3387,-0.8067,0.4815
28.0,-4.7891,0.2458,8.1076,0.3387,-0.8067,0.4815
34.0,-4.7795,0.6081,8.0602,0.5256,-0.7481,0.7485
38.0,-4.7795,0.6081,8.0602,0.5256,-0.7481,0.7485
43.0,-4.7795,0.6081,8.0602,0.5256,-0.7481,0.7485
48.0,-4.7795,0.6081,8.0602,0.5256,-0.7481,0.7485
53.0,-4.7795,0.6081,8.0602,0.5256,-0.7481,0.7485
58.0,-4.7795,0.5033,9.7615,0.5256,-0.7481,0.7485
63.0,-4.7795,0.5033,9.7615,0.5256,-0.7481,0.7485
68.0,-4.7795,0.5033,9.7615,0.5256,-0.7481,0.7485
73.0,-4.7795,0.5033,9.7615,0.7858,0.0979,0.352
78.0,-4.7795,0.5033,9.7615,0.7858,0.0979,0.352
83.0,-6.4414,0.1314,5.7665,0.7858,0.0979,0.352
88.0,-6.4414,0.1314,5.7665,0.7858,0.0979,0.352
93.0,-6.4414,0.1314,5.7665,0.7858,0.0979,0.352
98.0,-6.4414,0.1314,5.7665,0.7858,0.0979,0.352
104.0,-6.4414,0.1314,5.7665,0.5109,0.3001,-0.8062
108.0,-6.4414,0.1314,5.7665,0.5109,0.3001,-0.8062
113.0,-0.9721,0.6749,7.2119,0.5109,0.3001,-0.8062
118.0,-0.9721,0.6749,7.2119,0.5109,0.3001,-0.8062
123.0,-0.9721,0.6749,7.2119,0.5109,0.3001,-0.8062
128.0,-0.9721,0.6749,7.2119,0.5109,0.3001,-0.8062
133.0,-0.9721,0.6749,7.2119,-0.8825,-0.045,-1.0756
138.0,-9.4395,-4.6449,11.4676,-0.8825,-0.045,-1.0756
143.0,-9.4395,-4.6449,11.4676,-0.8825,-0.045,-1.0756
148.0,-9.4395,-4.6449,11.4676,-0.8825,-0.045,-1.0756
154.0,-9.4395,-4.6449,11.4676,-0.8825,-0.045,-1.0756
158.0,-9.4395,-4.6449,11.4676,-0.8825,-0.045,-1.0756
163.0,-9.4395,-4.6449,11.4676,0.3368,1.5628,-0.4171
168.0,-6.1636,-3.4341,5.1551,0.3368,1.5628,-0.4171
173.0,-6.1636,-3.4341,5.1551,0.3368,1.5628,-0.4171
178.0,-6.1636,-3.4341,5.1551,0.3368,1.5628,-0.4171
183.0,-6.1636,-3.4341,5.1551,0.3368,1.5628,-0.4171
188.0,-6.1636,-3.4341,5.1551,0.3368,1.5628,-0.4171
193.0,-3.2901,4.0116,2.1032,-0.5538,1.9415,-0.9271
198.0,-3.2901,4.0116,2.1032,-0.5538,1.9415,-0.9271
203.0,-3.2901,4.0116,2.1032,-0.5538,1.9415,-0.9271
208.0,-3.2901,4.0116,2.1032,-0.5538,1.9415,-0.9271
213.0,-3.2901,4.0116,2.1032,-0.5538,1.9415,-0.9271
218.0,-3.2901,4.0116,2.1032,-0.5538,1.9415,-0.9271
223.0,-7.0113,1.5281,0.4445,-1.6112,4.09,-1.9265
228.0,-7.0113,1.5281,0.4445,-1.6112,4.09,-1.9265
233.0,-7.0113,1.5281,0.4445,-1.6112,4.09,-1.9265
238.0,-7.0113,1.5281,0.4445,-1.6112,4.09,-1.9265
243.0,-7.0113,1.5281,0.4445,-1.6112,4.09,-1.9265
249.0,-10.9002,-2.5809,-0.9867,-1.6112,4.09,-1.9265
253.0,-10.9002,-2.5809,-0.9867,-1.6112,4.09,-1.9265
258.0,-10.9002,-2.5809,-0.9867,-0.1616,3.4315,-1.596
263.0,-10.9002,-2.5809,-0.9867,-0.1616,3.4315,-1.596
269.0,-10.9002,-2.5809,-0.9867,-0.1616,3.4315,-1.596
273.0,-0.1819,-2.9765,-1.9534,-0.1616,3.4315,-1.596
278.0,-0.1819,-2.9765,-1.9534,-0.1616,3.4315,-1.596
283.0,-0.1819,-2.9765,-1.9534,-0.1616,3.4315,-1.596
288.0,-0.1819,-2.9765,-1.9534,-1.8354,6.0124,0.297
293.0,-0.1819,-2.9765,-1.9534,-1.8354,6.0124,0.297
299.0,7.3372,-6.3466,-7.6024,-1.8354,6.0124,0.297
303.0,7.3372,-6.3466,-7.6024,-1.8354,6.0124,0.297
308.0,7.3372,-6.3466,-7.6024,-1.8354,6.0124,0.297
313.0,7.3372,-6.3466,-7.6024,-1.8354,6.0124,0.297
319.0,7.3372,-6.3466,-7.6024,-1.8354,6.0124,0.297
323.0,7.3372,-6.3466,-7.6024,-3.6778,7.9568,1.2946
328.0,4.2912,-11.4519,-3.8064,-3.6778,7.9568,1.2946
333.0,4.2912,-11.4519,-3.8064,-3.6778,7.9568,1.2946
338.0,4.2912,-11.4519,-3.8064,-3.6778,7.9568,1.2946
343.0,4.2912,-11.4519,-3.8064,-3.6778,7.9568,1.2946
348.0,4.2912,-11.4519,-3.8064,-3.6778,7.9568,1.2946
353.0,3.6734,-17.5629,0.0796,-5.0517,10.1633,1.724
358.0,3.6734,-17.5629,0.0796,-5.0517,10.1633,1.724
363.0,3.6734,-17.5629,0.0796,-5.0517,10.1633,1.724
368.0,3.6734,-17.5629,0.0796,-5.0517,10.1633,1.724
373.0,3.6734,-17.5629,0.0796,-5.0517,10.1633,1.724
378.0,3.6734,-17.5629,0.0796,-5.0517,10.1633,1.724
383.0,-4.3916,-24.0172,1.9231,-6.9387,10.0845,2.5652
389.0,-4.3916,-24.0172,1.9231,-6.9387,10.0845,2.5652
393.0,-4.3916,-24.0172,1.9231,-6.9387,10.0845,2.5652
398.0,-4.3916,-24.0172,1.9231,-6.9387,10.0845,2.5652
403.0,-4.3916,-24.0172,1.9231,-6.9387,10.0845,2.5652
408.0,-22.0591,-27.3158,1.5155,-6.9387,10.0845,2.5652
413.0,-22.0591,-27.3158,1.5155,-6.0547,5.6941,5.4461
418.0,-22.0591,-27.3158,1.5155,-6.0547,5.6941,5.4461
423.0,-22.0591,-27.3158,1.5155,-6.0547,5.6941,5.4461
429.0,-22.0591,-27.3158,1.5155,-6.0547,5.6941,5.4461
433.0,-33.9076,-20.1752,-5.1902,-6.0547,5.6941,5.4461
438.0,-33.9076,-20.1752,-5.1902,-6.0547,5.6941,5.4461
443.0,-33.9076,-20.1752,-5.1902,-4.1574,-1.5459,4.7527
448.0,-33.9076,-20.1752,-5.1902,-4.1574,-1.5459,4.7527
454.0,-33.9076,-20.1752,-5.1902,-4.1574,-1.5459,4.7527
458.0,-33.9076,-20.1752,-5.1902,-4.1574,-1.5459,4.7527
463.0,-32.5475,-13.454,-3.3657,-4.1574,-1.5459,4.7527
468.0,-32.5475,-13.454,-3.3657,-4.1574,-1.5459,4.7527
473.0,-32.5475,-13.454,-3.3657,-4.1574,-1.5459,4.7527
478.0,-32.5475,-13.454,-3.3657,-3.2881,-2.7279,1.9207
483.0,-32.5475,-13.454,-3.3657,-3.2881,-2.7279,1.9207
488.0,-32.2649,-9.3926,-1.3516,-3.2881,-2.7279,1.9207
494.0,-32.2649,-9.3926,-1.3516,-3.2881,-2.7279,1.9207
498.0,-32.2649,-9.3926,-1.3516,-3.2881,-2.7279,1.9207
505.0,-32.2649,-9.3926,-1.3516,-3.2881,-2.7279,1.9207
508.0,-32.2649,-9.3926,-1.3516,-3.2881,-2.7279,1.9207
513.0,-32.2649,-9.3926,-1.3516,-3.2881,-2.7279,1.9207
518.0,-30.9574,-7.6051,2.5961,-0.8452,0.4975,1.8383
523.0,-30.9574,-7.6051,2.5961,-0.8452,0.4975,1.8383
528.0,-30.9574,-7.6051,2.5961,-0.8452,0.4975,1.8383
534.0,-30.9574,-7.6051,2.5961,-0.8452,0.4975,1.8383
538.0,-30.9574,-7.6051,2.5961,-0.8452,0.4975,1.8383
545.0,-30.9574,-7.6051,2.5961,-0.8452,0.4975,1.8383
549.0,-7.1837,-5.7222,0.1696,-5.235,-5.1219,-3.4396
553.0,-7.1837,-5.7222,0.1696,-5.235,-5.1219,-3.4396
558.0,-7.1837,-5.7222,0.1696,-5.235,-5.1219,-3.4396
564.0,-7.1837,-5.7222,0.1696,-5.235,-5.1219,-3.4396
568.0,-7.1837,-5.7222,0.1696,-5.235,-5.1219,-3.4396
573.0,7.6916,-11.2088,-5.2566,-5.235,-5.1219,-3.4396
578.0,7.6916,-11.2088,-5.2566,-5.235,-5.1219,-3.4396
584.0,7.6916,-11.2088,-5.2566,-5.4909,-3.3663,0.4779
588.0,7.6916,-11.2088,-5.2566,-5.4909,-3.3663,0.4779
593.0,7.6916,-11.2088,-5.2566,-5.4909,-3.3663,0.4779
598.0,7.6916,-11.2088,-5.2566,-5.4909,-3.3663,0.4779
603.0,3.3047,-9.0828,-1.7402,-5.4909,-3.3663,0.4779
608.0,3.3047,-9.0828,-1.7402,-5.4909,-3.3663,0.4779
613.0,3.3047,-9.0828,-1.7402,-2.2832,-2.2594,4.2188
618.0,3.3047,-9.0828,-1.7402,-2.2832,-2.2594,4.2188
623.0,3.3047,-9.0828,-1.7402,-2.2832,-2.2594,4.2188
628.0,0.1103,-7.4907,3.8756,-2.2832,-2.2594,4.2188
633.0,0.1103,-7.4907,3.8756,-2.2832,-2.2594,4.2188
638.0,0.1103,-7.4907,3.8756,-2.2832,-2.2594,4.2188
643.0,0.1103,-7.4907,3.8756,-2.2832,-2.2594,4.2188
649.0,0.1103,-7.4907,3.8756,-0.2057,-1.1195,0.1804
654.0,0.1103,-7.4907,3.8756,-0.2057,-1.1195,0.1804
658.0,0.1103,-7.4907,3.8756,-0.2057,-1.1195,0.1804
664.0,-2.8782,-9.2878,3.3211,-0.2057,-1.1195,0.1804
669.0,-2.8782,-9.2878,3.3211,-0.2057,-1.1195,0.1804
674.0,-2.8782,-9.2878,3.3211,-0.2057,-1.1195,0.1804
678.0,-2.8782,-9.2878,3.3211,1.8463,-1.4091,-1.6675
683.0,-2.8782,-9.2878,3.3211,1.8463,-1.4091,-1.6675
689.0,1.049,-9.1734,-1.7354,1.8463,-1.4091,-1.6675
693.0,1.049,-9.1734,-1.7354,1.8463,-1.4091,-1.6675
699.0,1.049,-9.1734,-1.7354,1.8463,-1.4091,-1.6675
703.0,1.049,-9.1734,-1.7354,1.8463,-1.4091,-1.6675
709.0,1.049,-9.1734,-1.7354,0.6654,0.7351,0.4834
713.0,1.049,-9.1734,-1.7354,0.6654,0.7351,0.4834
718.0,-1.8533,-7.9864,-1.5743,0.6654,0.7351,0.4834
723.0,-1.8533,-7.9864,-1.5743,0.6654,0.7351,0.4834
728.0,-1.8533,-7.9864,-1.5743,0.6654,0.7351,0.4834
733.0,-1.8533,-7.9864,-1.5743,0.6654,0.7351,0.4834
738.0,-1.8533,-7.9864,-1.5743,0.6654,0.7351,0.4834
744.0,-6.6042,-8.5728,2.3496,1.3484,1.9715,1.2476
748.0,-6.6042,-8.5728,2.3496,1.3484,1.9715,1.2476
753.0,-6.6042,-8.5728,2.3496,1.3484,1.9715,1.2476
758.0,-6.6042,-8.5728,2.3496,1.3484,1.9715,1.2476
763.0,-6.6042,-8.5728,2.3496,1.3484,1.9715,1.2476
768.0,-6.6042,-8.5728,2.3496,1.3484,1.9715,1.2476
773.0,-3.3715,-9.1972,3.7571,2.0949,1.6105,0.349
778.0,-3.3715,-9.1972,3.7571,2.0949,1.6105,0.349
783.0,-3.3715,-9.1972,3.7571,2.0949,1.6105,0.349
788.0,-3.3715,-9.1972,3.7571,2.0949,1.6105,0.349
793.0,-3.3715,-9.1972,3.7571,2.0949,1.6105,0.349
804.0,-3.3715,-9.1972,3.7571,2.0949,1.6105,0.349
804.0,-3.3715,-9.1972,3.7571,2.0949,1.6105,0.349
808.0,-3.1943,-7.9435,3.5486,1.4571,2.8346,-0.3297
813.0,-3.1943,-7.9435,3.5486,1.4571,2.8346,-0.3297
818.0,-3.1943,-7.9435,3.5486,1.4571,2.8346,-0.3297
823.0,-3.1943,-7.9435,3.5486,1.4571,2.8346,-0.3297
828.0,-3.1943,-7.9435,3.5486,1.4571,2.8346,-0.3297
833.0,-1.1924,-6.8329,1.435,1.4571,2.8346,-0.3297
838.0,-1.1924,-6.8329,1.435,1.652,3.718,0.9232
843.0,-1.1924,-6.8329,1.435,1.652,3.718,0.9232
848.0,-1.1924,-6.8329,1.435,1.652,3.718,0.9232
853.0,-1.1924,-6.8329,1.435,1.652,3.718,0.9232
859.0,-1.4127,-6.8996,1.6719,1.652,3.718,0.9232
863.0,-1.4127,-6.8996,1.6719,1.652,3.718,0.9232
868.0,-1.4127,-6.8996,1.6719,0.9159,4.0851,1.1871
873.0,-1.4127,-6.8996,1.6719,0.9159,4.0851,1.1871
878.0,-1.4127,-6.8996,1.6719,0.9159,4.0851,1.1871
883.0,-0.4932,-8.1866,2.8235,0.9159,4.0851,1.1871
888.0,-0.4932,-8.1866,2.8235,0.9159,4.0851,1.1871
893.0,-0.4932,-8.1866,2.8235,0.9159,4.0851,1.1871
898.0,-0.4932,-8.1866,2.8235,0.3442,3.4681,1.0166
903.0,-0.4932,-8.1866,2.8235,0.3442,3.4681,1.0166
908.0,-0.4932,-8.1866,2.8235,0.3442,3.4681,1.0166
913.0,0.024,-11.7808,2.9752,0.3442,3.4681,1.0166
918.0,0.024,-11.7808,2.9752,0.3442,3.4681,1.0166
923.0,0.024,-11.7808,2.9752,0.3442,3.4681,1.0166
929.0,0.024,-11.7808,2.9752,0.3313,3.0766,0.3905
933.0,0.024,-11.7808,2.9752,0.3313,3.0766,0.3905
938.0,-6.1109,-11.8285,-0.7876,0.3313,3.0766,0.3905
943.0,-6.1109,-11.8285,-0.7876,0.3313,3.0766,0.3905
948.0,-6.1109,-11.8285,-0.7876,0.3313,3.0766,0.3905
953.0,-6.1109,-11.8285,-0.7876,0.3313,3.0766,0.3905
