time in milliseconds,acceleration_x,acceleration_y,acceleration_z,Roll,Pitch,Yaw
4.0,-3.8802,-1.7077,4.3272,-0.885,-0.0764,-0.3535
9.0,-3.8802,-1.7077,4.3272,-1.9309,-0.0519,0.0246
14.0,-3.8802,-1.7077,4.3272,-1.9309,-0.0519,0.0246
19.0,-3.8802,-1.7077,4.3272,-1.9309,-0.0519,0.0246
24.0,-3.1906,-3.1759,4.2893,-1.9309,-0.0519,0.0246
29.0,-3.1906,-3.1759,4.2893,-1.9309,-0.0519,0.0246
34.0,-3.1906,-3.1759,4.2893,-1.9309,-0.0519,0.0246
39.0,-3.1906,-3.1759,4.2893,-1.9803,0.2584,0.2085
44.0,-3.1906,-3.1759,4.2893,-1.9803,0.2584,0.2085
49.0,-2.0459,-2.9852,4.5215,-1.9803,0.2584,0.2085
53.0,-2.0459,-2.9852,4.5215,-1.9803,0.2584,0.2085
59.0,-2.0459,-2.9852,4.5215,-1.9803,0.2584,0.2085
64.0,-2.0459,-2.9852,4.5215,-1.9803,0.2584,0.2085
69.0,-2.0459,-2.9852,4.5215,-1.5417,1.8802,0.2971
74.0,-2.0843,-4.3151,4.7395,-1.5417,1.8802,0.2971
79.0,-2.0843,-4.3151,4.7395,-1.5417,1.8802,0.2971
84.0,-2.0843,-4.3151,4.7395,-1.5417,1.8802,0.2971
89.0,-2.0843,-4.3151,4.7395,-1.5417,1.8802,0.2971
94.0,-2.0843,-4.3151,4.7395,-1.5417,1.8802,0.2971
98.0,-2.0843,-4.3151,4.7395,-1.5417,1.8802,0.2971
104.0,-1.9837,-4.9062,5.4787,-1.4532,3.2462,0.2207
109.0,-1.9837,-4.9062,5.4787,-1.4532,3.2462,0.2207
114.0,-1.9837,-4.9062,5.4787,-1.4532,3.2462,0.2207
118.0,-1.9837,-4.9062,5.4787,-1.4532,3.2462,0.2207
124.0,-1.9837,-4.9062,5.4787,-1.4532,3.2462,0.2207
129.0,0.0757,-4.4009,3.8627,-1.4532,3.2462,0.2207
134.0,0.0757,-4.4009,3.8627,-2.408,3.5937,0.1163
139.0,0.0757,-4.4009,3.8627,-2.408,3.5937,0.1163
143.0,0.0757,-4.4009,3.8627,-2.408,3.5937,0.1163
149.0,0.0757,-4.4009,3.8627,-2.408,3.5937,0.1163
154.0,0.7653,-6.2886,5.4171,-2.408,3.5937,0.1163
159.0,0.7653,-6.2886,5.4171,-2.408,3.5937,0.1163
163.0,0.7653,-6.2886,5.4171,-2.408,3.5937,0.1163
169.0,0.7653,-6.2886,5.4171,-4.1294,4.7452,-1.4335
174.0,0.7653,-6.2886,5.4171,-4.1294,4.7452,-1.4335
179.0,0.7653,-6.2886,5.4171,-4.1294,4.7452,-1.4335
184.0,-3.8227,-10.9028,8.308,-4.1294,4.7452,-1.4335
188.0,-3.8227,-10.9028,8.308,-4.1294,4.7452,-1.4335
194.0,-3.8227,-10.9028,8.308,-4.1294,4.7452,-1.4335
199.0,-3.8227,-10.9028,8.308,-5.1654,6.0855,-2.5257
204.0,-3.8227,-10.9028,8.308,-5.1654,6.0855,-2.5257
209.0,-6.112,-13.3148,9.2795,-5.1654,6.0855,-2.5257
213.0,-6.112,-13.3148,9.2795,-5.1654,6.0855,-2.5257
219.0,-6.112,-13.3148,9.2795,-5.1654,6.0855,-2.5257
224.0,-6.112,-13.3148,9.2795,-5.1654,6.0855,-2.5257
229.0,-6.112,-13.3148,9.2795,-5.1654,6.0855,-2.5257
234.0,-6.112,-13.3148,9.2795,-5.8948,5.1221,-1.0065
239.0,-13.0612,-13.8058,9.4927,-5.8948,5.1221,-1.0065
244.0,-13.0612,-13.8058,9.4927,-5.8948,5.1221,-1.0065
249.0,-13.0612,-13.8058,9.4927,-5.8948,5.1221,-1.0065
253.0,-13.0612,-13.8058,9.4927,-5.8948,5.1221,-1.0065
259.0,-13.0612,-13.8058,9.4927,-5.8948,5.1221,-1.0065
264.0,-19.3686,-11.6226,9.9951,-7.1501,2.5559,1.2464
269.0,-19.3686,-11.6226,9.9951,-7.1501,2.5559,1.2464
274.0,-19.3686,-11.6226,9.9951,-7.1501,2.5559,1.2464
279.0,-19.3686,-11.6226,9.9951,-7.1501,2.5559,1.2464
284.0,-19.3686,-11.6226,9.9951,-7.1501,2.5559,1.2464
289.0,-21.9452,-10.4023,11.4168,-7.1501,2.5559,1.2464
294.0,-21.9452,-10.4023,11.4168,-4.6773,1.0623,1.3001
299.0,-21.9452,-10.4023,11.4168,-4.6773,1.0623,1.3001
304.0,-21.9452,-10.4023,11.4168,-4.6773,1.0623,1.3001
309.0,-21.9452,-10.4023,11.4168,-4.6773,1.0623,1.3001
314.0,-21.9452,-10.4023,11.4168,-4.6773,1.0623,1.3001
318.0,-19.1722,-6.7605,7.2938,-4.6773,1.0623,1.3001
324.0,-19.1722,-6.7605,7.2938,-4.6773,1.0623,1.3001
329.0,-19.1722,-6.7605,7.2938,-3.13,-0.4893,1.1786
334.0,-19.1722,-6.7605,7.2938,-3.13,-0.4893,1.1786
338.0,-19.1722,-6.7605,7.2938,-3.13,-0.4893,1.1786
344.0,-16.5429,-5.8834,5.8958,-3.13,-0.4893,1.1786
349.0,-16.5429,-5.8834,5.8958,-3.13,-0.4893,1.1786
354.0,-16.5429,-5.8834,5.8958,-3.13,-0.4893,1.1786
358.0,-16.5429,-5.8834,5.8958,-2.0842,-0.7135,0.8805
364.0,-16.5429,-5.8834,5.8958,-2.0842,-0.7135,0.8805
369.0,-16.5429,-5.8834,5.8958,-2.0842,-0.7135,0.8805
374.0,-13.8753,-4.501,4.4314,-2.0842,-0.7135,0.8805
379.0,-13.8753,-4.501,4.4314,-2.0842,-0.7135,0.8805
383.0,-13.8753,-4.501,4.4314,-2.0842,-0.7135,0.8805
389.0,-13.8753,-4.501,4.4314,-0.4061,-0.2938,0.7125
394.0,-13.8753,-4.501,4.4314,-0.4061,-0.2938,0.7125
399.0,-9.5555,-2.5991,-4.2363,-0.4061,-0.2938,0.7125
403.0,-9.5555,-2.5991,-4.2363,-0.4061,-0.2938,0.7125
