time in milliseconds,acceleration_x,acceleration_y,acceleration_z,Roll,Pitch,Yaw
6.0,-4.1923,2.4288,9.8814,-0.2037,0.3236,-0.7056
11.0,-4.1923,2.4288,9.8814,-0.2037,0.3236,-0.7056
16.0,-4.1923,2.4288,9.8814,-0.2037,0.3236,-0.7056
21.0,-4.1923,2.4288,9.8814,-0.2037,0.3236,-0.7056
26.0,-4.1923,2.4288,9.8814,-0.2037,0.3236,-0.7056
31.0,-4.7096,2.6052,6.7632,-0.2037,0.3236,-0.7056
36.0,-4.7096,2.6052,6.7632,-1.2214,-0.4998,-1.7655
41.0,-4.7096,2.6052,6.7632,-1.2214,-0.4998,-1.7655
46.0,-4.7096,2.6052,6.7632,-1.2214,-0.4998,-1.7655
51.0,-4.7096,2.6052,6.7632,-1.2214,-0.4998,-1.7655
56.0,-4.7096,2.6052,6.7632,-1.2214,-0.4998,-1.7655
61.0,-4.7096,2.6052,6.7632,-1.2214,-0.4998,-1.7655
66.0,-0.9979,4.0066,7.9432,-2.0357,-1.0386,-2.1106
72.0,-0.9979,4.0066,7.9432,-2.0357,-1.0386,-2.1106
76.0,-0.9979,4.0066,7.9432,-2.0357,-1.0386,-2.1106
81.0,-0.9979,4.0066,7.9432,-2.0357,-1.0386,-2.1106
86.0,-0.9979,4.0066,7.9432,-2.0357,-1.0386,-2.1106
91.0,-0.9979,4.0066,7.9432,-2.0357,-1.0386,-2.1106
96.0,-0.8207,0.6698,11.3269,-0.2562,0.2601,-1.9714
101.0,-0.8207,0.6698,11.3269,-0.2562,0.2601,-1.9714
106.0,-0.8207,0.6698,11.3269,-0.2562,0.2601,-1.9714
111.0,-0.8207,0.6698,11.3269,-0.2562,0.2601,-1.9714
116.0,-0.8207,0.6698,11.3269,-0.2562,0.2601,-1.9714
121.0,-1.6636,0.6365,8.7109,-0.2562,0.2601,-1.9714
126.0,-1.6636,0.6365,8.7109,-0.2562,0.2601,-1.9714
131.0,-1.6636,0.6365,8.7109,0.4951,0.4464,-0.6507
136.0,-1.6636,0.6365,8.7109,0.4951,0.4464,-0.6507
141.0,-1.6636,0.6365,8.7109,0.4951,0.4464,-0.6507
146.0,-2.7651,1.28,8.872,0.4951,0.4464,-0.6507
151.0,-2.7651,1.28,8.872,0.4951,0.4464,-0.6507
156.0,-2.7651,1.28,8.872,0.4951,0.4464,-0.6507
161.0,-2.7651,1.28,8.872,0.9453,-0.0477,-0.7728
166.0,-2.7651,1.28,8.872,0.9453,-0.0477,-0.7728
171.0,-2.7651,1.28,8.872,0.9453,-0.0477,-0.7728
176.0,-3.8427,1.914,8.6872,0.9453,-0.0477,-0.7728
181.0,-3.8427,1.914,8.6872,0.9453,-0.0477,-0.7728
186.0,-3.8427,1.914,8.6872,0.9453,-0.0477,-0.7728
191.0,-3.8427,1.914,8.6872,0.7309,-0.4143,-1.088
196.0,-3.8427,1.914,8.6872,0.7309,-0.4143,-1.088
201.0,-3.0812,0.136,10.2464,0.7309,-0.4143,-1.088
206.0,-3.0812,0.136,10.2464,0.7309,-0.4143,-1.088
211.0,-3.0812,0.136,10.2464,0.7309,-0.4143,-1.088
216.0,-3.0812,0.136,10.2464,0.7309,-0.4143,-1.088
221.0,-3.0812,0.136,10.2464,0.7908,0.0817,-0.7453
226.0,-3.0812,0.136,10.2464,0.7908,0.0817,-0.7453
231.0,-2.904,0.2885,10.0757,0.7908,0.0817,-0.7453
236.0,-2.904,0.2885,10.0757,0.7908,0.0817,-0.7453
241.0,-2.904,0.2885,10.0757,0.7908,0.0817,-0.7453
246.0,-2.904,0.2885,10.0757,0.7908,0.0817,-0.7453
251.0,-2.904,0.2885,10.0757,0.8122,0.5912,-0.2096
256.0,-2.8609,0.4792,10.0852,0.8122,0.5912,-0.2096
261.0,-2.8609,0.4792,10.0852,0.8122,0.5912,-0.2096
266.0,-2.8609,0.4792,10.0852,0.8122,0.5912,-0.2096
271.0,-2.8609,0.4792,10.0852,0.8122,0.5912,-0.2096
276.0,-2.8609,0.4792,10.0852,0.8122,0.5912,-0.2096
281.0,-2.8609,0.4792,10.0852,0.8122,0.5912,-0.2096
286.0,-4.3743,1.2752,9.4786,0.6875,0.5362,-0.2982
291.0,-4.3743,1.2752,9.4786,0.6875,0.5362,-0.2982
296.0,-4.3743,1.2752,9.4786,0.6875,0.5362,-0.2982
301.0,-4.3743,1.2752,9.4786,0.6875,0.5362,-0.2982
306.0,-4.3743,1.2752,9.4786,0.6875,0.5362,-0.2982
311.0,-4.1636,1.0035,10.5307,0.6875,0.5362,-0.2982
