time in milliseconds,acceleration_x,acceleration_y,acceleration_z,Roll,Pitch,Yaw
4.0,-4.9825,1.3515,7.711,-0.657,0.6315,0.7091
9.0,-4.9825,1.3515,7.711,-0.2471,0.1795,-0.3312
14.0,-4.9825,1.3515,7.711,-0.2471,0.1795,-0.3312
19.0,-4.9825,1.3515,7.711,-0.2471,0.1795,-0.3312
24.0,-4.9825,1.3515,7.711,-0.2471,0.1795,-0.3312
29.0,-4.9825,1.3515,7.711,-0.2471,0.1795,-0.3312
34.0,-5.2795,0.7414,7.5451,-0.2471,0.1795,-0.3312
39.0,-5.2795,0.7414,7.5451,0.0205,-0.1455,-0.556
44.0,-5.2795,0.7414,7.5451,0.0205,-0.1455,-0.556
49.0,-5.2795,0.7414,7.5451,0.0205,-0.1455,-0.556
54.0,-5.2795,0.7414,7.5451,0.0205,-0.1455,-0.556
59.0,-5.2795,0.7414,7.5451,0.0205,-0.1455,-0.556
64.0,-5.0113,-0.0023,7.3034,0.0205,-0.1455,-0.556
69.0,-5.0113,-0.0023,7.3034,0.0461,-0.1565,-0.2353
75.0,-5.0113,-0.0023,7.3034,0.0461,-0.1565,-0.2353
79.0,-5.0113,-0.0023,7.3034,0.0461,-0.1565,-0.2353
84.0,-5.0113,-0.0023,7.3034,0.0461,-0.1565,-0.2353
89.0,-4.8867,-1.132,6.6162,0.0461,-0.1565,-0.2353
94.0,-4.8867,-1.132,6.6162,0.0461,-0.1565,-0.2353
99.0,-4.8867,-1.132,6.6162,-0.029,-0.4173,0.4923
104.0,-4.8867,-1.132,6.6162,-0.029,-0.4173,0.4923
109.0,-4.8867,-1.132,6.6162,-0.029,-0.4173,0.4923
114.0,-4.791,-0.212,5.0334,-0.029,-0.4173,0.4923
119.0,-4.791,-0.212,5.0334,-0.029,-0.4173,0.4923
124.0,-4.791,-0.212,5.0334,-0.029,-0.4173,0.4923
130.0,-4.791,-0.212,5.0334,-0.029,-0.4173,0.4923
134.0,-4.791,-0.212,5.0334,-0.489,0.345,0.4171
139.0,-4.791,-0.212,5.0334,-0.489,0.345,0.4171
144.0,-4.791,-0.212,5.0334,-0.489,0.345,0.4171
149.0,-4.7,-0.4599,4.2088,-0.489,0.345,0.4171
154.0,-4.7,-0.4599,4.2088,-0.489,0.345,0.4171
159.0,-4.7,-0.4599,4.2088,-0.489,0.345,0.4171
164.0,-4.7,-0.4599,4.2088,-1.1909,1.5399,0.3499
169.0,-4.7,-0.4599,4.2088,-1.1909,1.5399,0.3499
174.0,-2.837,-1.5324,3.4553,-1.1909,1.5399,0.3499
179.0,-2.837,-1.5324,3.4553,-1.1909,1.5399,0.3499
185.0,-2.837,-1.5324,3.4553,-1.1909,1.5399,0.3499
189.0,-2.837,-1.5324,3.4553,-1.1909,1.5399,0.3499
194.0,-2.837,-1.5324,3.4553,-1.3662,3.1996,0.174
199.0,-2.6741,-2.5191,1.5549,-1.3662,3.1996,0.174
204.0,-2.6741,-2.5191,1.5549,-1.3662,3.1996,0.174
209.0,-2.6741,-2.5191,1.5549,-1.3662,3.1996,0.174
214.0,-2.6741,-2.5191,1.5549,-1.3662,3.1996,0.174
219.0,-2.6741,-2.5191,1.5549,-1.3662,3.1996,0.174
224.0,-2.6741,-2.5191,1.5549,-1.3662,3.1996,0.174
229.0,-1.405,-2.7384,-0.426,-1.4548,5.1404,-0.333
234.0,-1.405,-2.7384,-0.426,-1.4548,5.1404,-0.333
240.0,-1.405,-2.7384,-0.426,-1.4548,5.1404,-0.333
244.0,-1.405,-2.7384,-0.426,-1.4548,5.1404,-0.333
249.0,-1.405,-2.7384,-0.426,-1.4548,5.1404,-0.333
254.0,-1.5535,-4.4259,-2.0657,-1.4548,5.1404,-0.333
259.0,-1.5535,-4.4259,-2.0657,-2.3228,6.1373,-0.9451
264.0,-1.5535,-4.4259,-2.0657,-2.3228,6.1373,-0.9451
269.0,-1.5535,-4.4259,-2.0657,-2.3228,6.1373,-0.9451
274.0,-1.5535,-4.4259,-2.0657,-2.3228,6.1373,-0.9451
279.0,-2.4251,-6.8712,-2.0989,-2.3228,6.1373,-0.9451
284.0,-2.4251,-6.8712,-2.0989,-2.3228,6.1373,-0.9451
289.0,-2.4251,-6.8712,-2.0989,-2.3228,6.1373,-0.9451
294.0,-2.4251,-6.8712,-2.0989,-3.7749,6.7873,-1.7508
299.0,-2.4251,-6.8712,-2.0989,-3.7749,6.7873,-1.7508
304.0,-2.4251,-6.8712,-2.0989,-3.7749,6.7873,-1.7508
309.0,-3.3638,-10.9612,-0.0042,-3.7749,6.7873,-1.7508
314.0,-3.3638,-10.9612,-0.0042,-3.7749,6.7873,-1.7508
319.0,-3.3638,-10.9612,-0.0042,-3.7749,6.7873,-1.7508
324.0,-3.3638,-10.9612,-0.0042,-5.489,8.3529,-2.358
329.0,-3.3638,-10.9612,-0.0042,-5.489,8.3529,-2.358
