time in milliseconds,acceleration_x,acceleration_y,acceleration_z,Roll,Pitch,Yaw
5.0,1.1438,3.5293,5.5802,-2.1049,-0.0735,1.5708
9.0,1.1438,3.5293,5.5802,-2.1049,-0.0735,1.5708
14.0,1.1438,3.5293,5.5802,-1.6101,1.8062,-0.34
20.0,1.1438,3.5293,5.5802,-1.6101,1.8062,-0.34
25.0,1.1438,3.5293,5.5802,-1.6101,1.8062,-0.34
29.0,-8.2192,-3.8401,11.0681,-1.6101,1.8062,-0.34
34.0,-8.2192,-3.8401,11.0681,-1.6101,1.8062,-0.34
40.0,-8.2192,-3.8401,11.0681,-1.6101,1.8062,-0.34
45.0,-8.2192,-3.8401,11.0681,-0.0939,0.3737,-0.0046
50.0,-8.2192,-3.8401,11.0681,-0.0939,0.3737,-0.0046
54.0,-2.362,3.1814,11.5088,-0.0939,0.3737,-0.0046
60.0,-2.362,3.1814,11.5088,-0.0939,0.3737,-0.0046
65.0,-2.362,3.1814,11.5088,-0.0939,0.3737,-0.0046
70.0,-2.362,3.1814,11.5088,-0.0939,0.3737,-0.0046
74.0,-2.362,3.1814,11.5088,-0.2246,0.6736,0.2153
79.0,-2.362,3.1814,11.5088,-0.2246,0.6736,0.2153
85.0,-2.9798,2.3567,10.8216,-0.2246,0.6736,0.2153
90.0,-2.9798,2.3567,10.8216,-0.2246,0.6736,0.2153
94.0,-2.9798,2.3567,10.8216,-0.2246,0.6736,0.2153
99.0,-2.9798,2.3567,10.8216,-0.2246,0.6736,0.2153
105.0,-2.9798,2.3567,10.8216,-0.2246,0.6736,0.2153
110.0,-3.5784,0.8695,10.0492,-0.5319,1.571,0.2031
115.0,-3.5784,0.8695,10.0492,-0.5319,1.571,0.2031
119.0,-3.5784,0.8695,10.0492,-0.5319,1.571,0.2031
124.0,-3.5784,0.8695,10.0492,-0.5319,1.571,0.2031
129.0,-3.5784,0.8695,10.0492,-0.5319,1.571,0.2031
135.0,-6.6148,-0.9658,5.1205,-0.5117,0.8789,0.9062
140.0,-6.6148,-0.9658,5.1205,-0.5117,0.8789,0.9062
145.0,-6.6148,-0.9658,5.1205,-0.5117,0.8789,0.9062
149.0,-6.6148,-0.9658,5.1205,-0.5117,0.8789,0.9062
155.0,-6.6148,-0.9658,5.1205,-0.5117,0.8789,0.9062
160.0,-6.6148,-0.9658,5.1205,-0.5117,0.8789,0.9062
165.0,-4.9673,3.0717,7.7934,-0.5117,0.8789,0.9062
169.0,-4.9673,3.0717,7.7934,-0.3956,0.2631,0.4242
174.0,-4.9673,3.0717,7.7934,-0.3956,0.2631,0.4242
180.0,-4.9673,3.0717,7.7934,-0.3956,0.2631,0.4242
185.0,-4.9673,3.0717,7.7934,-0.3956,0.2631,0.4242
190.0,-4.9529,2.3424,7.1015,-0.3956,0.2631,0.4242
194.0,-4.9529,2.3424,7.1015,-0.3956,0.2631,0.4242
199.0,-4.9529,2.3424,7.1015,-0.5801,-0.0319,0.5745
205.0,-4.9529,2.3424,7.1015,-0.5801,-0.0319,0.5745
210.0,-4.9529,2.3424,7.1015,-0.5801,-0.0319,0.5745
215.0,-5.1205,2.5664,6.1063,-0.5801,-0.0319,0.5745
219.0,-5.1205,2.5664,6.1063,-0.5801,-0.0319,0.5745
224.0,-5.1205,2.5664,6.1063,-0.5801,-0.0319,0.5745
230.0,-5.1205,2.5664,6.1063,-0.5801,-0.0319,0.5745
235.0,-5.1205,2.5664,6.1063,-0.2961,-0.8035,0.8146
240.0,-5.1205,2.5664,6.1063,-0.2961,-0.8035,0.8146
244.0,-5.7383,1.6321,5.5092,-0.2961,-0.8035,0.8146
249.0,-5.7383,1.6321,5.5092,-0.2961,-0.8035,0.8146
255.0,-5.7383,1.6321,5.5092,-0.2961,-0.8035,0.8146
260.0,-5.7383,1.6321,5.5092,-0.2961,-0.8035,0.8146
265.0,-5.7383,1.6321,5.5092,-0.4946,-1.1333,0.9441
